Source ID,Target ID,SourceName,TargeName,Source Name Change,Target Name Change,Source Cluster,Target Cluster,Source Jurisdiction,Target Jurisdiction,Source Type,Target Type
1,2,NSO Group,PFOS Technologies,Unchanged,Unchanged,NSO Group,NSO Group,Israel,United Kingdom,Vendor,Partner
1,3,NSO Group,L.E.G.D Technologies > Q Cyber Technologies ,Unchanged,Changed,NSO Group,NSO Group,Israel,Israel,Vendor,Vendor
1,4,NSO Group,Westbridge Technologies ,Unchanged,Unchanged,NSO Group,NSO Group,Israel,United States,Vendor,Vendor
1,5,NSO Group,Osy Technologies SARL,Unchanged,Unchanged,NSO Group,NSO Group,Israel,Luxembourg,Vendor,Vendor
1,6,NSO Group,Circles Solutions (Cyprus),Unchanged,Unchanged,NSO Group,NSO Group,Israel,Cyprus,Vendor,Subsidiary
1,7,NSO Group,Q Cyber Technologies SARL,Unchanged,Unchanged,NSO Group,NSO Group,Israel,Luxembourg,Vendor,Vendor
1,9,NSO Group,Circles Solutions (Bulgaria),Unchanged,Unchanged,NSO Group,NSO Group,Israel,Bulgaria,Vendor,Subsidiary
1,10,NSO Group,Convexum,Unchanged,Unchanged,NSO Group,NSO Group,Israel,Israel,Vendor,Subsidiary
1,11,NSO Group,Sol Security > Dream Security ,Unchanged,Changed,NSO Group,NSO Group,Israel,Israel,Vendor,Partner
1,12,NSO Group,Dufresne Holdings,Unchanged,Unchanged,NSO Group,NSO Group,Israel,Luxembourg,Vendor,Holding Company
1,13,NSO Group,Global Seven Group LLC,Unchanged,Unchanged,NSO Group,NSO Group,Israel,British Virgin Islands,Vendor,Holding Company
1,14,NSO Group,Francisco Partners Management LLC,Unchanged,Unchanged,NSO Group,NSO Group,Israel,United States,Vendor,Investor
1,15,NSO Group,Jefferies Group LLC ,Unchanged,Unchanged,NSO Group,NSO Group,Israel,United States,Vendor,Investor
1,16,NSO Group,Novalpina Capital,Unchanged,Unchanged,NSO Group,NSO Group,Israel,United Kingdom,Vendor,Investor
17,10,Berkely Research Group ,Convexum,Unchanged,Unchanged,NSO Group,NSO Group,United States,Israel,Investor,Subsidiary
1,13,NSO Group,Global Seven Group LLC,Unchanged,Unchanged,NSO Group,NSO Group,Israel,British Virgin Islands,Vendor,Holding Company
1,19,NSO Group,Blackstone Group LP,Unchanged,Unchanged,NSO Group,NSO Group,Israel,United States,Vendor,Investor
21,22,Candiru Ltd > DF Associates > Grindavik Solutions Ltd./Greenwick Solutions Ltd. > Taveta Ltd./Tabatha Ltd. > Saito Tech Ltd.  ,Sokoto Ltd,Changed,Unchanged,Candiru Ltd,Candiru Ltd,Israel,Israel,Vendor,Subsidiary
21,8,Candiru Ltd > DF Associates > Grindavik Solutions Ltd./Greenwick Solutions Ltd. > Taveta Ltd./Tabatha Ltd. > Saito Tech Ltd.  ,Universal Motors Israel LTD,Changed,Unchanged,Candiru Ltd,Candiru Ltd,Israel,Israel,Vendor,Investor
21,23,Candiru Ltd > DF Associates > Grindavik Solutions Ltd./Greenwick Solutions Ltd. > Taveta Ltd./Tabatha Ltd. > Saito Tech Ltd.  ,Qatar Investment Authority,Changed,Unchanged,Candiru Ltd,Candiru Ltd,Israel,Qatar,Vendor,Investor
21,24,Candiru Ltd > DF Associates > Grindavik Solutions Ltd./Greenwick Solutions Ltd. > Taveta Ltd./Tabatha Ltd. > Saito Tech Ltd.  ,Optas Industry Ltd. ESOP,Changed,Unchanged,Candiru Ltd,Candiru Ltd,Israel,Israel,Vendor,Investor
21,25,Candiru Ltd > DF Associates > Grindavik Solutions Ltd./Greenwick Solutions Ltd. > Taveta Ltd./Tabatha Ltd. > Saito Tech Ltd.  ,Optas Industry Ltd,Changed,Unchanged,Candiru Ltd,Candiru Ltd,Israel,Malta,Vendor,Investor
21,26,Candiru Ltd > DF Associates > Grindavik Solutions Ltd./Greenwick Solutions Ltd. > Taveta Ltd./Tabatha Ltd. > Saito Tech Ltd.  ,Ibn Hemdat Trusts 1992 Ltd,Changed,Unchanged,Candiru Ltd,Candiru Ltd,Israel,Israel,Vendor,Investor
21,27,Candiru Ltd > DF Associates > Grindavik Solutions Ltd./Greenwick Solutions Ltd. > Taveta Ltd./Tabatha Ltd. > Saito Tech Ltd.  ,IBI Trust Management,Changed,Unchanged,Candiru Ltd,Candiru Ltd,Israel,Israel,Vendor,Investor
21,28,Candiru Ltd > DF Associates > Grindavik Solutions Ltd./Greenwick Solutions Ltd. > Taveta Ltd./Tabatha Ltd. > Saito Tech Ltd.  ,Founders Group,Changed,Unchanged,Candiru Ltd,Candiru Ltd,Israel,United States,Vendor,Investor
21,29,Candiru Ltd > DF Associates > Grindavik Solutions Ltd./Greenwick Solutions Ltd. > Taveta Ltd./Tabatha Ltd. > Saito Tech Ltd.  ,ESOP management and trust services,Changed,Unchanged,Candiru Ltd,Candiru Ltd,Israel,Israel,Vendor,Investor
30,31,Hacking Team Srl (Italy) > Memento Labs Srl,Hacking Team (United States),Changed,Unchanged,Memento Labs Srl,Memento Labs Srl,Italy,United States,Vendor,Vendor
30,32,Hacking Team Srl (Italy) > Memento Labs Srl,Grey Heron (United Kingdom),Changed,Unchanged,Memento Labs Srl,Memento Labs Srl,Italy,United Kingdom,Vendor,Vendor
30,33,Hacking Team Srl (Italy) > Memento Labs Srl,Grey Heron (Italy),Changed,Unchanged,Memento Labs Srl,Memento Labs Srl,Italy,Italy,Vendor,Vendor
30,34,Hacking Team Srl (Italy) > Memento Labs Srl,Qavar,Changed,Unchanged,Memento Labs Srl,Memento Labs Srl,Italy,Singapore,Vendor,Partner
30,35,Hacking Team Srl (Italy) > Memento Labs Srl,VASTech,Changed,Unchanged,Memento Labs Srl,VasTech,Italy,South Africa,Vendor,Supplier
30,36,Hacking Team Srl (Italy) > Memento Labs Srl,Fondo Next,Changed,Unchanged,Memento Labs Srl,Memento Labs Srl,Italy,Italy,Vendor,Investor
30,37,Hacking Team Srl (Italy) > Memento Labs Srl,Innogest Capital,Changed,Unchanged,Memento Labs Srl,Memento Labs Srl,Italy,Italy,Vendor,Investor
30,38,Hacking Team Srl (Italy) > Memento Labs Srl,Tablem Limited,Changed,Unchanged,Memento Labs Srl,Memento Labs Srl,Italy,Cyprus,Vendor,Investor
30,39,Hacking Team Srl (Italy) > Memento Labs Srl,InTheCyber Group fSA (Switzerland),Changed,Unchanged,Memento Labs Srl,Memento Labs Srl,Italy,Switzerland,Vendor,Investor
30,40,Hacking Team Srl (Italy) > Memento Labs Srl,InTheCyber (Italy),Changed,Unchanged,Memento Labs Srl,Memento Labs Srl,Italy,Italy,Vendor,Investor
41,42,Gamma Group International SAL ,Elaman ,Unchanged,Unchanged,Gamma Group,Gamma Group,Lebanon ,Germany,Vendor,Supplier
41,43,Gamma Group International SAL ,Gamma International GmbH > FinFisher Labs Gmbh,Unchanged,Changed,Gamma Group,Gamma Group,Lebanon ,Germany,Vendor,Vendor
41,44,Gamma Group International SAL ,Raedarius m8 GmbH,Unchanged,Unchanged,Gamma Group,Gamma Group,Lebanon ,Germany,Vendor,Subsidiary
41,45,Gamma Group International SAL ,So m8 Gmbh,Unchanged,Unchanged,Gamma Group,Gamma Group,Lebanon ,Germany,Vendor,Subsidiary
41,35,Gamma Group International SAL ,VASTech,Unchanged,Unchanged,Gamma Group,VasTech,Lebanon ,South Africa,Vendor,Supplier
41,47,Gamma Group International SAL ,Trophy Investments Limited > Gamma 2000,Unchanged,Changed,Gamma Group,Gamma Group,Lebanon ,United Kingdom,Vendor,Holding Company
41,48,Gamma Group International SAL ,Technical Surveillance Equiptment Limited > Gamma T S E Limited > Global T S E Limited,Unchanged,Changed,Gamma Group,Gamma Group,Lebanon ,United Kingdom,Vendor,Holding Company
41,49,Gamma Group International SAL ,Computplus Limited,Unchanged,Unchanged,Gamma Group,Gamma Group,Lebanon ,United Kingdom,Vendor,Holding Company
41,50,Gamma Group International SAL ,B N Management Security Systems Limited > Axciton Europe Limited > Gamma Tema Consultants Limited > G2 SYSTEMS LIMITED,Unchanged,Changed,Gamma Group,Gamma Group,Lebanon ,United Kingdom,Vendor,Holding Company
41,51,Gamma Group International SAL ,GTSC LTD,Unchanged,Unchanged,Gamma Group,Gamma Group,Lebanon ,Cyprus,Vendor,Holding Company
41,52,Gamma Group International SAL ,Gamma International (UK) Limited,Unchanged,Unchanged,Gamma Group,Gamma Group,Lebanon ,United Kingdom,Vendor,Holding Company
41,53,Gamma Group International SAL ,Gamma Group International Limited > Mindstone International LTD,Unchanged,Changed,Gamma Group,Gamma Group,Lebanon ,British Virgin Islands,Vendor,Holding Company
41,54,Gamma Group International SAL ,FinFisher Limited ,Unchanged,Unchanged,Gamma Group,Gamma Group,Lebanon ,United Kingdom,Vendor,Holding Company
41,55,Gamma Group International SAL ,FinFisher Holding GmbH > Vilicius Holdings GmbH,Unchanged,Changed,Gamma Group,Gamma Group,Lebanon ,Germany,Vendor,Holding Company
