ID,Type,Name,Jursidiction,Region,Cluster,Jurisdiction Groups,Year Start,Year End,Name Status,Name Change Year,Number of name changes,Additional types,Central node,Note,Source,Source 2,Source 3,Longitude,Latitude
1,Vendor,NSO Group,Israel,Middle East and North Africa,NSO Group,Israel,2010,2023,Unchanged,,,,NSO Group,Spyware Pegasus,https://www.vice.com/en/article/wnxpjm/nso-group-new-big-player-in-government-spyware,,,35.2035,31.7717
2,Partner,PFOS Technologies,United Kingdom,Europe and Eurasia,NSO Group,Israel,2013,2016,Unchanged,,,,NSO Group,Marketing services for NSO ,https://find-and-update.company-information.service.gov.uk/company/08521034/filing-history,,,-0.126236,51.5002
3,Vendor,L.E.G.D Technologies > Q Cyber Technologies ,Israel,Middle East and North Africa,NSO Group,Israel,2013,2022,Changed,2016,1,,NSO Group,"Same founders from NSO register a new company in Israel, name change in 2016 to Q Cyber Technologies.",https://www.courtlistener.com/docket/16395340/1/1/whatsapp-inc-v-nso-group-technologies-limited/,,,35.2035,31.7717
4,Vendor,Westbridge Technologies ,United States,North America,NSO Group,Israel,2014,2022,Unchanged,,,,NSO Group,"Name of NSO in United States. Offices in Delaware, Maryland, Virginia",https://www.vice.com/en/article/m7jp43/nso-group-pitched-its-spyware-to-the-secret-service,,,-77.032,38.8895
5,Vendor,Osy Technologies SARL,Luxembourg,Europe and Eurasia,NSO Group,Israel,2014,2022,Unchanged,,,,NSO Group,Name of NSO group in Luxembourg ,https://www.luxtimes.lu/luxembourg/luxembourg-must-act-if-links-to-spyware-company-shown-asselborn-says/1333484.html,https://delano.lu/article/spyware-entities-move-manageme,,6.1296,49.61
6,Subsidiary,Circles Solutions (Cyprus),Cyprus,Europe and Eurasia,NSO Group,Israel,2014,2020,Unchanged,,,,NSO Group,"Merges with NSO after being bought by Francisco Partners Management LLC, Tal Dilian founder",https://www.forbes.com/sites/thomasbrewster/2019/08/05/a-multimillionaire-surveillance-dealer-steps-out-of-the-shadows-and-his-9-million-whatsapp-hacking-van/?sh=43edd03231b7,,,33.3736,35.1676
7,Vendor,Q Cyber Technologies SARL,Luxembourg,Europe and Eurasia,NSO Group,Israel,2016,2019,Unchanged,,,,NSO Group,"Formerly L.E.G.D. Technologies, name change to Q Cyber Technologies",https://www.courtlistener.com/docket/16395340/1/1/whatsapp-inc-v-nso-group-technologies-limited/,,,6.1296,49.61
8,Investor,Universal Motors Israel LTD,Israel,Middle East and North Africa,Candiru Ltd,Israel,2019,2019,Unchanged,,,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,,https://citizenlab.ca/2021/07/hooking-candiru-another-mercenary-spyware-vendor-comes-into-focus/,,,35.2035,31.7717
9,Subsidiary,Circles Solutions (Bulgaria),Bulgaria,Europe and Eurasia,NSO Group,Israel,2017,2022,Unchanged,,,,NSO Group,Subsidary of NSO in Bulgaria,https://www.dnb.com/business-directory/company-profiles.circles_bulgaria_eood.1eb5f5d54a8b26e1780be9fa74136e1b.html,,,,
10,Subsidiary,Convexum,Israel,Middle East and North Africa,NSO Group,Israel,2020,2022,Unchanged,,,,NSO Group,"NSO Group is acquiring Convexum Ltd., a Tel Aviv startup developing counter-drone technologies","https://www.calcalistech.com/ctech/articles/0,7340,L-3792634,00.html",,,35.2035,31.7717
11,Partner,Sol Security > Dream Security ,Israel,Middle East and North Africa,NSO Group,Israel,2022,2023,Changed,2022,1,,NSO Group,New cybersecurity start-up Sol Security Ltd. incorporated by former NSO CEO on 7/6/2022,https://ica.justice.gov.il/GenericCorporarionInfo/SearchCorporation?unit=8,,,35.2035,31.7717
12,Holding Company,Dufresne Holdings,Luxembourg,Europe and Eurasia,NSO Group,Israel,2023,2023,Unchanged,,,,NSO Group,"NSO under new ownership, sole shareholder is one of the NSO original founders ",https://www.wsj.com/articles/israeli-cyber-company-nso-group-has-new-ownership-after-u-s-blacklist-a2cda00a,"https://www.theregister.com/2023/05/30/nso_owner_hacking/#:~:text=The%20new%20owner%20is%20a,of%20NSO%20parent%20company%20NorthPole.",,6.1296,49.61
13,Holding Company,Global Seven Group LLC,British Virgin Islands,Latin America and Caribbean,NSO Group,Israel,2014,2016,Unchanged,,,,NSO Group,Holding Company for NSO,https://en.datocapital.com/buy.7Y56DCKI-eekyib88Nz2VnA.shtm,,,-64.623056,18.431389
